Model,Accuracy,Precision,Recall,F1
gemini-2.5-pro,0.5906,0.6001,0.5906,0.5792
gemini-2.5-flash,0.5686,0.5735,0.5686,0.5427
gemini-2.5-flash-lite,0.5844,0.5995,0.5844,0.5802
gpt-5,0.624,0.633,0.624,0.6126
gpt-5-mini,0.6234,0.6271,0.6234,0.6107
gpt-5-nano,0.5984,0.6131,0.5984,0.5963
gpt-4.1,0.6354,0.64,0.6354,0.6326
claude-sonnet-4-5,0.6502,0.6548,0.6502,0.6475
claude-haiku-4-5,0.595,0.6163,0.595,0.5914
claude-opus-4-1,0.6448,0.6607,0.6448,0.6463
deepseek-chat,0.6334,0.6341,0.6334,0.627
deepseek-reasoner,0.6022,0.6053,0.6022,0.5945
GPT-5 as an Orchestrator,0.714,0.7229,0.714,0.7092
GPT-5-mini as an Orchestrator,0.7032,0.7119,0.7032,0.6982
